Iteration,Discriminator Loss,Generator Loss
2520,1.322105,0.792323
2530,1.300582,0.806402
2540,1.340670,0.664729
2550,1.347134,0.794951
2560,1.307420,0.789861
2570,1.323237,0.809237
2580,1.338430,0.921030
2590,1.303143,0.544137
2600,1.311045,0.852284
2610,1.330486,0.633574
2620,1.268681,0.717030
2630,1.290278,0.863966
2640,1.286166,0.763220
2650,1.306616,0.571637
2660,1.308999,0.568319
2670,1.204083,0.695319
2680,1.238294,0.590357
2690,1.313013,0.609365
2700,1.266563,0.702853
2710,1.286313,0.732137
2720,1.299775,0.706690
2730,1.298861,0.737907
2740,1.228888,0.568854
2750,1.247560,0.699465
2760,1.266192,0.714250
2770,1.286701,0.732113
2780,1.286283,0.790674
2790,1.270545,0.733556
2800,1.275913,0.737320
2810,1.298225,0.594315
2820,1.276316,0.711771
2830,1.282010,0.726860
2840,1.311508,0.612448
2850,1.336775,0.587138
2860,1.296910,0.547122
2870,1.529310,0.874893
2880,1.245629,0.716907
2890,1.338428,0.599172
2900,1.322639,0.566095
2910,1.240676,0.659202
2920,1.232949,0.666321
2930,1.323809,0.574432
2940,1.311569,0.608606
2950,1.315596,0.494806
2960,1.312643,0.589888
2970,1.211779,0.547056
2980,1.271626,0.508927
2990,1.225840,0.692510
3000,1.193783,0.543387
3010,1.306779,0.735224
3020,1.281247,0.698542
3030,1.339750,0.546007
3040,1.168737,0.686315
3050,1.212855,0.539276
3060,1.313509,0.567533
3070,1.226715,0.671710
3080,1.215283,0.659605
3090,1.214739,0.625682
3100,1.213417,0.674314
3110,1.299664,0.531295
3120,1.181086,0.649782
3130,1.256286,0.643391
3140,1.214627,0.682672
3150,1.290738,0.652790
3160,1.204297,0.593878
3170,1.271656,0.718395
3180,1.299980,0.747968
3190,1.279083,0.633202
3200,1.265199,0.605277
3210,1.276986,0.575104
3220,1.275215,0.545906
3230,1.352055,0.520643
3240,1.262822,0.701301
3250,1.378265,0.572491
3260,1.313078,0.547056
3270,1.192986,0.643697
3280,1.164095,0.531680
3290,1.256939,0.555800
3300,1.203399,0.504438
3310,1.191069,0.482838
3320,1.315600,0.584550
3330,1.188248,0.462449
3340,1.323206,0.538068
3350,1.191310,0.466584
3360,1.189428,0.586043
3370,1.247580,0.564034
3380,1.244548,0.552784
3390,1.310486,0.753900
3400,1.257393,0.631451
3410,1.319193,0.664319
3420,1.218477,0.483802
3430,1.316263,0.537952
3440,1.254366,0.485130
3450,1.190909,0.621657
3460,1.258033,0.502540
3470,1.144877,0.648174
3480,1.276542,0.556032
3490,1.190351,0.532029
3500,1.221193,0.637056
3510,1.159894,0.562533
3520,1.248839,0.603282
3530,1.243913,0.529703
3540,1.279559,0.712358
3550,1.290863,0.597503
3560,1.312061,0.808389
3570,1.263284,0.728828
3580,1.274941,0.729079
3590,1.280232,0.751262
3600,1.130097,0.661200
3610,1.220936,0.562496
3620,1.211134,0.595162
3630,1.306739,0.541179
3640,1.310734,0.600986
3650,1.336141,0.672944
3660,1.252725,0.467053
3670,1.179745,0.433443
3680,1.262613,0.400704
3690,1.340561,0.728805
3700,1.267527,0.627935
3710,1.319846,0.484895
3720,1.207083,0.632789
3730,1.269195,0.700122
3740,1.269388,0.527966
3750,1.205089,0.534862
3760,1.173277,0.467955
3770,1.236962,0.485360
3780,1.242935,0.544741
3790,1.236896,0.638065
3800,1.272103,0.664828
3810,1.211095,0.609224
3820,1.203690,0.664064
3830,1.251484,0.561532
3840,1.203817,0.502910
3850,1.256635,0.739134
3860,1.147922,0.483245
3870,1.306060,0.845731
3880,1.211562,0.467737
3890,1.220897,0.789668
3900,1.364746,0.433858
3910,1.422377,0.440662
3920,1.312370,0.566331
3930,1.174359,0.688180
3940,1.329945,0.706700
3950,1.090907,0.551043
3960,1.300164,0.633092
3970,1.244075,0.551518
3980,1.306046,0.669257
3990,1.348495,0.765252
4000,1.314645,0.647184
4010,1.350080,0.694216
4020,1.196936,0.695072
4030,1.281436,0.675160
4040,1.307232,0.737698
4050,1.144861,0.505989
4060,1.181663,0.444941
4070,1.288208,0.627581
4080,1.323243,0.605088
4090,1.271056,0.673672
4100,1.292006,0.561458
4110,1.287252,0.715343
4120,1.261246,0.652571
